Date,Content,Instagram Reach,Instagram Engagement,Facebook Reach,Facebook Engagement,LinkedIn Impressions,LinkedIn Engagement
Feb 11,AI & You: Content Creation,98,"4 (3 likes, 1 share)",12,"3 (2 likes, 1 share)",156,"11 (6 likes, 5 clicks)"
Feb 13,Meet Abdullah Jasmin,97,"5 (4 likes, 1 share)",17,"2 (1 like, 1 share)","1,587","627 (48 likes, 4 comments, 1 share, 574 clicks)"
Feb 19,Creator Challenges Blog,82,"6 (6 likes, 0 shares)",11,"2 (1 like, 1 share)",185,"13 (5 likes, 1 share, 7 clicks)"
Feb 20,We're Hiring: Data Annotator,87,"4 (3 likes, 1 share)",58,"1 (0 likes, 1 share)","1,240","107 (7 likes, 1 share, 99 clicks)"
Feb 21,From Zero to Engagement (Reel),295,"15 (13 likes, 2 shares)",-,-,597,"64 (25 likes, 1 share, 38 clicks)"
Feb 24,End Creator Burnout,82,"5 (4 likes, 1 share)",9,"1 (0 likes, 1 share)",93,"8 (6 likes, 1 share, 1 click)"
Feb 25,Break Through Saturation,10,"6 (6 likes, 0 shares)",7,"1 (0 likes, 1 share)",108,"7 (2 likes, 1 share, 4 clicks)"
Feb 27,Feb Newsletter Announcement,87,"3 (2 likes, 1 share)",-,-,53,"3 (2 likes, 1 share)"
Mar 3,Algorithm-Proof Content,11,"3 (3 likes, 0 shares)",5,"1 (0 likes, 1 share)",81,"7 (4 likes, 3 clicks)"
Mar 5,ConvoTalk Episode 2,65,"4 (3 likes, 1 share)",4,"1 (0 likes, 1 share)",163,"19 (5 likes, 3 shares, 11 clicks)"
Mar 10,Audience Growth Hacks,54,"2 (1 like, 1 share)",-,-,59,"29 (2 likes, 1 share, 26 clicks)"